Location,Post_Office,Postcode,State
Kangar - Peti surat,Kangar,01007,Perlis
Kangar - Beg berkunci,Kangar,01009,Perlis
Alor Redeh,Kangar,01000,Perlis
Alor Tok Terang,Kangar,01000,Perlis
Bohor Gelam,Kangar,01000,Perlis
Jalan Abi Tok Hashim,Kangar,01000,Perlis
Jalan Alor Sena,Kangar,01000,Perlis
Jalan Arau,Kangar,01000,Perlis
Jalan Besar Kangar,Kangar,01000,Perlis
Jalan Bohor Guncar,Kangar,01000,Perlis
Jalan Bukit Meranti,Kangar,01000,Perlis
Jalan Home Guard,Kangar,01000,Perlis
Jalan Hospital,Kangar,01000,Perlis
Jalan Jubli Perak,Kangar,01000,Perlis
Jalan Kaki Bukit (Batu 4 1/2),Kangar,01000,Perlis
Jalan Kampung Wan Abdullah,Kangar,01000,Perlis
Jalan Kangar,Kangar,01000,Perlis
Jalan Kurung Batang,Kangar,01000,Perlis
Jalan Masjid Lama,Kangar,01000,Perlis
Jalan Medan Kangar,Kangar,01000,Perlis
Jalan Padang Bohor,Kangar,01000,Perlis
Jalan Panglima,Kangar,01000,Perlis
Jalan Pegawai,Kangar,01000,Perlis
Jalan Penjara,Kangar,01000,Perlis
Jalan Raja Muda,Kangar,01000,Perlis
Jalan Raja Syed Alwi,Kangar,01000,Perlis
Jalan Raja Syed Saffi,Kangar,01000,Perlis
Jalan Santan (Km 5),Kangar,01000,Perlis
Jalan Seruling,Kangar,01000,Perlis
Jalan Syed Omar,Kangar,01000,Perlis
Jalan Taman Bunga Padi,Kangar,01000,Perlis
Jalan Teluk Kacang,Kangar,01000,Perlis
Jalan Tok Kandang,Kangar,01000,Perlis
Jalan Tun Razak,Kangar,01000,Perlis
Jejawi,Kangar,01000,Perlis
Kampung Abi Batas Paip,Kangar,01000,Perlis
Kampung Abi Padang Machang,Kangar,01000,Perlis
Kampung Abi Pokok Asam,Kangar,01000,Perlis
Kampung Abi Tok Hashim,Kangar,01000,Perlis
Kampung Alor,Kangar,01000,Perlis
Kampung Alor Ara,Kangar,01000,Perlis
Kampung Alor Dalam,Kangar,01000,Perlis
Kampung Alor Kabong,Kangar,01000,Perlis
Kampung Alor Lanchang,Kangar,01000,Perlis
Kampung Alor Marus,Kangar,01000,Perlis
Kampung Alor Pulai,Kangar,01000,Perlis
Kampung Alor Redeh,Kangar,01000,Perlis
